company_name,Anzahl der Jobangebote
IQVIA CSMS GmbH,28
PROMATIS software GmbH,28
sennder,28
movisco AG,27
d-fine GmbH,27
SCHOTT AG,27
OBI Group Holding SE & Co. KGaA,27
Billie,27
ecovium GmbH,27
Ed. Züblin AG,27
IHK Gesellschaft für Informationsverarbeitung mbH,27
Deyan7 GmbH & Co.KG,27
Bavarian Nordic GmbH,27
Henkel,27
Pico Engineering GmbH,27
CELUS,26
Delivery Hero,26
Celenus-Kliniken GmbH,26
ALDI SÜD Dienstleistungs-SE & Co. oHG,26
amperias GmbH,26
Quantum-Systems GmbH,26
auxmoney GmbH,26
IKB Deutsche Industriebank AG,26
IABG Industrieanlagen - Betriebsgesellschaft mbH,26
MVZ Dr. Stein + Kollegen SE & Co eGbR,26
Campana & Schott Business Services GmbH,26
Siegwerk Druckfarben AG & Co. KGaA,26
GBA Gesellschaft für Bioanalytik mbH,26
Currenta GmbH & Co. OHG,26
nnamu GmbH,26
Proliance GmbH,25
Hilti Entwicklungsgesellschaft mbH,25
dormakaba Deutschland GmbH,25
Continental,25
SII Deutschland GmbH,25
Google,25
MEDILYS Laborgesellschaft mbH,25
VDEh-Betriebsforschungsinstitut GmbH,25
Fraport AG,25
Tools for Humanity,25
Contentful,25
Kienbaum Consultants International GmbH - Zentrale,25
Natuvion GmbH,24
Intrinsic,24
Marsh GmbH,24
GEFA BANK GmbH,24
METRO AG,24
Qimia GmbH,24
BestFit GmbH,24
TALPA Solutions,24
Trajan Scientific Europe Ltd,24
Preyer GmbH,24
Intrum Deutschland GmbH,24
SumUp,24
Deichmann,24
RISE PARTNERS Audit GmbH Wirtschaftsprüfungsges.,24
Universitätsklinikum Essen,24
Provinzial Versicherung AG,24
usd AG,24
Deutsches Elektronen-Synchrotron DESY,24
Thyssenkrupp Nucera,24
Yoummday,24
NORD/LB Norddeutsche Landesbank,24
Creditplus Bank AG,24
Hochschule für Gesundheit,24
ENERCON,24
ALAIKA Advisory,23
Rohde & Schwarz GmbH & Co. KG,23
Biotest AG,23
PINTSCH GmbH,23
msg insur:it,23
CIDEON Software & Services GmbH & Co. KG,23
Saint-Gobain Deutschland,23
S-Payment GmbH - Ein Unternehmen der DSV-Gruppe,23
Mercer Deutschland GmbH,23
Exyte Central Europe GmbH,23
Walaris,23
Max Bögl Bauservice GmbH & Co. KG,23
Handelsblatt GmbH,23
Gothaer Konzern,23
Universität Duisburg-Essen,23
Continentale Krankenversicherung a.G.,23
flaschenpost SE,23
Goldman Sachs AG MesseTurm,22
Digital Turbine,22
DKMS Group gGmbH,22
Mercuri Urval GmbH,22
Obungi GmbH,22
Magna,22
KNIME AG,22
ADAC,22
DYMATRIX GmbH,22
NICE Europe Research GmbH,22
Datarade,22
Wandelbots GmbH,22
Schwarz Produktion Stiftung & Co. KG,22
ConVista Consulting AG,21
ACONEXT,21
Klüh Service Management GmbH,21
RSU GmbH,21
ponturo consulting AG,21
ISS Software GmbH,21
IVU Traffic Technologies AG,21
MID GmbH,21
Universitätsklinikum Köln (AöR),21
thyssenkrupp Steel Europe AG,21
emetriq GmbH,21
SCHUFA Holding AG,21
CureVac Corporate Services GmbH,21
SPITZKE SE,21
toom Baumarkt GmbH (Ein Unternehmen der REWE Group),21
Mercedes-Benz Tech Innovation,21
Birkenstock Group B.V. & Co. KG,21
FERCHAU Automotive GmbH,21
conovum AG,21
Michael Page,21
AARKE AB,21
WG-DATA GmbH,21
Hoffmann Group,20
Beiersdorf Shared Services,20
ZEIT Verlagsgruppe,20
MOIA,20
WestCom Medien GmbH,20
ME-Automation Projects GmbH,20
Technische Universität Dresden,20
Fraunhofer-Institut für Mikroelektronische Schaltungen und Systeme IMS,20
Prime Intellect,20
43 IT GmbH,20
VORWERK ELEKTROWERKE GMBH & CO. KG,20
Affinidi,20
Rivada Space Networks GmbH,20
IMS Messsysteme GmbH,20
OrthoLev GmbH,20
HOCHTIEF Data Center Partner GmbH,20
EML Speech Technology GmbH,20
PROSOZ Herten GmbH,20
KONUX,19
Instapro Group,19
SEEPEX GmbH,19
Targobank AG,19
Holtzbrinck Publishing Group,19
EnBW Energie Baden-Württemberg AG,19
Viridium Gruppe,19
ATLAS ELEKTRONIK GmbH,19
Ehrhardt + Partner Group,19
DIS AG,19
E.ON Accounting Solutions GmbH,19
ALDI Nord,19
VDI/VDE Innovation + Technik GmbH,19
Infineon Technologies,19
OMMAX GmbH,19
Wepa Hygieneprodukte GmbH,19
MPDV Mikrolab GmbH,19
Rödl Rechtsanwälte Steuerberater Wirtschaftsprüfer Unternehmens- und IT-Berater,19
Münchener Rückversicherungs-Gesellschaft AG,19
50Hertz Transmission GmbH,19
ALTEN GmbH,19
BEW Berliner Energie und Wärme AG,19
Pure Storage,19
AIRTEAM,19
o2 Telefónica,18
Höpfinger GmbH & Co. KG,18
Machineseeker Group GmbH,18
InstaDeep,18
Schaeffler Automotive Aftermarket GmbH & Co. KG,18
Babbel,18
S-Markt & Mehrwert GmbH & Co. KG,18
yellow brick road,18
Recogni,18
SentinelOne,18
Blue Avenir GmbH,18
AppLike GmbH,18
Soloplan GmbH Software für Logistik und Planung,18
RP Digital GmbH,18
Airteam Aerial Intelligence GmbH,18
DURAG GROUP,18
STRABAG Property and Facility Services GmbH,18
Datarade GmbH,18
WENZEL Group GmbH Co & KG,18
GEA Group,18
A. Menarini Research & Business Service GmbH,18
KNDS,18
Munich Re,18
gaetan-data GmbH,18
msg services gmbh,18
CEWE Stiftung & Co. KGaA,18
CHECK24 Vergleichsportal,18
Funk - Internationaler Versicherungsmakler und Risk Consultant,18
Paradox,18
MAN Truck & Bus Group,18
SPARQUE B.V.,18
Panasonic Industry Europe GmbH,18
Moers Frischeprodukte GmbH & Co. KG,18
elevait GmbH & Co. KG,18
FUTRUE GmbH,18
GSI Helmholtzzentrum für Schwerionenforschung GmbH,18
DEUTSCHE ROCKWOOL GmbH & Co. KG,18
HR UNIVERSAL GmbH,18
MODUS Consult GmbH,18
Hochschule Rhein-Waal,17
Flix SE,17
mgm technology partners GmbH,17
groupm Germany GmbH & Co. KG,17
